Country,Time_Period,Unemployment_Rate
DEU,2006-08,10
DEU,2006-09,9.6
DEU,2006-10,9.6
DEU,2006-11,10
DEU,2006-12,9.7
DEU,2007-01,9.3
DEU,2007-02,9.6
DEU,2007-03,9.2
DEU,2007-04,8.6
DEU,2007-05,8.5
DEU,2007-06,8.3
DEU,2007-07,8.3
DEU,2014-12,4.3
USA,2019-03,3.9
DEU,2015-01,4.6
DEU,2015-09,4
DEU,2015-10,4.1
DEU,2015-11,4.3
DEU,2015-12,4.2
DEU,2016-01,4.1
DEU,2016-02,4.4
DEU,2016-03,4.3
DEU,2016-04,4
DEU,2016-05,4
DEU,2016-06,4
DEU,2016-07,4
DEU,2016-08,3.9
DEU,2016-09,3.5
DEU,2016-10,3.7
DEU,2016-11,3.7
DEU,2016-12,3.3
DEU,2017-01,3.8
DEU,2017-02,4.1
DEU,2017-03,3.8
DEU,2017-04,3.9
DEU,2017-05,3.4
DEU,2017-06,3.4
DEU,2017-07,3.4
DEU,2017-08,3.6
DEU,2017-09,3.4
DEU,2017-10,3.5
DEU,2017-11,3.2
DEU,2017-12,3.3
DEU,2018-01,3.4
DEU,2018-02,3.6
DEU,2018-03,3.3
DEU,2018-04,3.3
DEU,2018-05,3.2
